MJR,SAEM,Miramar Airport,"-38,22710000","-57,86970000"
COC,SAAC,Comodoro Pierrestegui Airport,"-31,29690000","-57,99660000"
GHU,SAAG,Gualeguaychu Airport,"-33,00556700","-58,61283300"
PRA,SAAP,General Urquiza Airport,"-31,79480000","-60,48040000"
ROS,SAAR,Rosario Islas Malvinas International Airport,"-32,90360000","-60,78500000"
SFN,SAAV,Sauce Viejo Airport,"-31,71170000","-60,81170000"
AEP,SABE,Aeroparque Jorge Newbery,"-34,55941900","-58,41553600"
LCM,SACC,La Cumbre Airport,"-31,00580000","-64,53189800"
COR,SACO,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,"-31,31234600","-64,20832900"
LPG,SADL,La Plata Airport,"-34,97220000","-57,89470000"
EPA,SADP,El Palomar Airport,"-34,60990000","-58,61260000"
EZE,SAEZ,Ezeiza International Airport - Ministro Pistarini,"-34,82220000","-58,53580000"
RAF,SAFR,Rafaela Airport,"-31,28250000","-61,50170000"
NCJ,SAFS,Sunchales Aeroclub Airport,"-30,95750000","-61,52830000"
HOS,SAHC,Chos Malal Airport,"-37,44469800","-70,22250400"
CVH,SAHE,Caviahue Airport,"-37,85139800","-71,00920100"
GNR,SAHR,Dr. Arturo H. Illia Airport,"-39,00070200","-67,62049900"
RDS,SAHS,Rincon De Los Sauces Airport,"-37,39059800","-68,90419800"
APZ,SAHZ,Zapala Airport,"-38,97549800","-70,11360200"
SAM,,Salamo Airport,"-9,67010000","150,79030000"
MDZ,SAME,Governor Francisco Gabrielli International Airport,"-32,83169900","-68,79290000"
LGS,SAMM,Comodoro D.R. Salomón Airport,"-35,49359900","-69,57430300"
AFA,SAMR,Suboficial Ay Santiago Germano Airport,"-34,58829900","-68,40390000"
CTC,SANC,Coronel Felipe Varela International Airport,"-28,59311700","-65,75120000"
SDE,SANE,Vicecomodoro Angel D. La Paz Aragonés Airport,"-27,76555634","-64,30999756"
IRJ,SANL,Capitan V A Almonacid Airport,"-29,38159900","-66,79579900"
RHD,SANR,Termas de Río Hondo international Airport,"-27,49660000","-64,93595000"
TUC,SANT,Teniente Benjamín Matienzo International Airport,"-26,83739700","-65,10419500"
UAQ,SANU,Domingo Faustino Sarmiento Airport,"-31,57150100","-68,41819800"
CRR,SANW,Ceres Airport,"-29,87229200","-61,92792500"
RCU,SAOC,Area De Material Airport,"-33,08509800","-64,26129900"
VDR,SAOD,Villa Dolores Airport,"-31,94520000","-65,14630100"
VME,SAOR,Villa Reynolds Airport,"-33,72990036","-65,38739777"
RLO,SAOS,Valle Del Conlara International Airport,"-32,38470100","-65,18650100"
LUQ,SAOU,Brigadier Mayor D Cesar Raul Ojeda Airport,"-33,27320100","-66,35640000"
CNQ,SARC,Corrientes Airport,"-27,44550000","-58,76190000"
RES,SARE,Resistencia International Airport,"-27,44991000","-59,05612500"
FMA,SARF,Formosa National Airport,"-26,21270000","-58,22810000"
IGR,SARI,Cataratas Del Iguazú International Airport,"-25,73730100","-54,47340000"
AOL,SARL,Paso De Los Libres Airport,"-29,68940000","-57,15210000"
MCS,SARM,Monte Caseros Airport,"-30,27190000","-57,64020000"
PSS,SARP,Libertador Gral D Jose De San Martin Airport,"-27,38580000","-55,97070000"
PRQ,SARS,Termal Airport,"-26,75361100","-60,49222200"
SLA,SASA,Martín Miguel de Güemes International Airport,"-24,85600100","-65,48619800"
JUJ,SASJ,Gobernador Horacio Guzman International Airport,"-24,39279900","-65,09780100"
ORA,SASO,Orán Airport,"-23,15280000","-64,32920100"
TTG,SAST,General Enrique Mosconi Airport,"-22,61687700","-63,79301500"
CLX,SATC,Aeródromo de Clorinda,"-25,30360000","-57,73440000"
ELO,SATD,El Dorado Airport,"-26,39749900","-54,57469900"
OYA,SATG,Goya Airport,"-29,10580000","-59,21890000"
LLS,SATK,Alferez Armando Rodriguez Airport,"-24,72139900","-60,54880100"
MDX,SATM,Mercedes Airport,"-29,22139900","-58,08779900"
RCQ,SATR,Reconquista Airport,"-29,21027800","-59,68333300"
UZU,SATU,Curuzu Cuatia Airport,"-29,77060000","-57,97890000"
EHL,SAVB,El Bolsón Airfield,"-41,94319900","-71,53230300"
CRD,SAVC,General Enrique Mosconi International Airport,"-45,78694100","-67,46335500"
EMX,SAVD,El Maitén Airport,"-42,02920200","-71,17250100"
EQS,SAVE,Esquel Brigadier Antonio Parodi International Airport,"-42,90800100","-71,13950300"
LHS,SAVH,Las Heras Airport,"-46,53851700","-68,96532300"
IGB,SAVJ,Ingeniero Jacobacci - Captain H R Bordón Airport,"-41,32090000","-69,57489800"
OLN,SAVM,Lago Musters Airport,"-45,57520000","-69,07700000"
OES,SAVN,Antoine de Saint Exupéry Airport,"-40,75120000","-65,03430000"
